id,date,customer,category,amount,status
78,2026-01-08,Priya,Sports,9052.79,FAILED
79,2026-01-03,Neha,Books,5591.82,SUCCESS
80,2026-01-09,Rahul,Clothing,3741.45,SUCCESS
81,2026-02-27,Neha,Groceries,6867.67,SUCCESS
82,2026-01-23,Rohit,Furniture,9741.32,SUCCESS
83,2026-03-01,Sneha,Groceries,9764.65,SUCCESS
84,2026-02-26,Karan,Electronics,1916.52,SUCCESS
85,2026-02-20,Karan,Sports,8660.17,SUCCESS
86,2026-01-18,Amit,Sports,1214.63,SUCCESS
87,2026-02-24,Anjali,Groceries,2115.59,SUCCESS
88,2026-01-23,Vikram,Groceries,2345.57,SUCCESS
89,2026-01-26,Neha,Clothing,8663.01,SUCCESS
90,2026-01-23,Rohit,Furniture,6842.57,FAILED
91,2026-01-22,Rahul,Electronics,abc,SUCCESS
92,2026-02-07,Vikram,Electronics,1217.66,SUCCESS
93,2026-01-23,Neha,Furniture,6120.55,FAILED
94,2026-01-08,Karan,Books,2022.09,SUCCESS
95,2026-02-15,Karan,Electronics,5270.7,FAILED
96,2026-02-13,Sneha,Clothing,4397.85,SUCCESS
97,2026-02-09,Neha,Sports,8502.1,SUCCESS
98,2026-02-02,Vikram,Sports,4172.26,SUCCESS
99,2026-02-14,Vikram,Books,1403.66,SUCCESS
100,2026-02-12,Karan,Sports,7518.38,SUCCESS
